ITERATION,Estimate Pi
1,inf
2,inf
3,inf
4,inf
5,inf
6,inf
7,inf
8,inf
9,inf
10,inf
11,inf
12,inf
13,inf
14,inf
15,inf
16,inf
17,inf
18,inf
19,inf
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,4
35,2
36,2
37,2
38,2
39,2
40,2
41,2.5
42,2.5
43,3
44,3.5
45,3.5
46,3.5
47,3.5
48,2.33333
49,2.33333
50,2.33333
51,2.33333
52,2.33333
53,2.66667
54,2.66667
55,2.66667
56,2.66667
57,2.66667
58,2.66667
59,2.66667
60,2.66667
61,2.66667
62,2.66667
63,2.66667
64,2.66667
65,2.66667
66,2.66667
67,2.66667
68,2.66667
69,2
70,2
71,2.25
72,2.25
73,2.25
74,2.25
75,2.25
76,2.25
77,2.25
78,2.25
79,2.5
80,2.5
81,2.5
82,2.5
83,2.5
84,2.75
85,2.75
86,2.75
87,2.75
88,2.75
89,2.75
90,2.75
91,2.75
92,2.2
93,2.2
94,2.2
95,1.83333
96,1.83333
97,1.83333
98,1.83333
99,1.83333
100,1.83333
101,1.83333
102,2
103,2
104,2
105,2
106,2
107,2
108,1.71429
109,1.71429
110,1.71429
111,1.71429
112,1.71429
113,1.71429
114,1.5
115,1.33333
116,1.33333
117,1.33333
118,1.44444
119,1.44444
120,1.44444
121,1.44444
122,1.44444
123,1.44444
124,1.44444
125,1.44444
126,1.44444
127,1.44444
128,1.44444
129,1.44444
130,1.44444
131,1.44444
132,1.44444
133,1.44444
134,1.44444
135,1.44444
136,1.44444
137,1.44444
138,1.55556
139,1.4
140,1.4
141,1.4
142,1.4
143,1.4
144,1.4
145,1.4
146,1.4
147,1.4
148,1.4
149,1.4
150,1.4
151,1.4
152,1.5
153,1.6
154,1.6
155,1.6
156,1.7
157,1.7
158,1.54545
159,1.54545
160,1.54545
161,1.54545
162,1.54545
163,1.54545
164,1.54545
165,1.54545
166,1.54545
167,1.54545
168,1.63636
169,1.63636
170,1.63636
171,1.63636
172,1.63636
173,1.63636
174,1.63636
175,1.63636
176,1.63636
177,1.63636
178,1.63636
179,1.72727
180,1.72727
181,1.72727
182,1.81818
183,1.81818
184,1.81818
185,1.90909
186,1.90909
187,1.90909
188,1.90909
189,1.90909
190,1.90909
191,1.90909
192,1.90909
193,1.90909
194,1.90909
195,1.90909
196,1.90909
197,1.90909
198,1.90909
199,1.90909
200,1.90909
201,1.90909
202,1.90909
203,1.90909
204,1.90909
205,1.90909
206,1.90909
207,1.90909
208,1.90909
209,1.90909
210,1.90909
211,1.90909
212,1.90909
213,1.90909
214,1.90909
215,1.90909
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2.09091
231,2.18182
232,2.18182
233,2.18182
234,2.18182
235,2.18182
236,2.18182
237,2.18182
238,2.18182
239,2.18182
240,2.27273
241,2.27273
242,2.27273
243,2.36364
244,2.36364
245,2.36364
246,2.45455
247,2.45455
248,2.45455
249,2.45455
250,2.45455
251,2.45455
252,2.45455
253,2.45455
254,2.45455
255,2.45455
256,2.54545
257,2.54545
258,2.54545
259,2.54545
260,2.54545
261,2.54545
262,2.54545
263,2.54545
264,2.54545
265,2.54545
266,2.54545
267,2.54545
268,2.54545
269,2.54545
270,2.54545
271,2.54545
272,2.33333
273,2.33333
274,2.41667
275,2.41667
276,2.41667
277,2.41667
278,2.5
279,2.5
280,2.5
281,2.5
282,2.5
283,2.5
284,2.5
285,2.5
286,2.5
287,2.5
288,2.5
289,2.58333
290,2.58333
291,2.58333
292,2.58333
293,2.58333
294,2.58333
295,2.58333
296,2.58333
297,2.58333
298,2.58333
299,2.58333
300,2.58333
301,2.58333
302,2.58333
303,2.58333
304,2.38462
305,2.38462
306,2.38462
307,2.38462
308,2.38462
309,2.38462
310,2.38462
311,2.38462
312,2.46154
313,2.46154
314,2.46154
315,2.46154
316,2.46154
317,2.46154
318,2.46154
319,2.46154
320,2.28571
321,2.28571
322,2.28571
323,2.28571
324,2.28571
325,2.28571
326,2.28571
327,2.28571
328,2.28571
329,2.28571
330,2.35714
331,2.35714
332,2.35714
333,2.35714
334,2.35714
335,2.35714
336,2.35714
337,2.35714
338,2.35714
339,2.35714
340,2.35714
341,2.35714
342,2.35714
343,2.35714
344,2.35714
345,2.35714
346,2.35714
347,2.35714
348,2.35714
349,2.35714
350,2.35714
351,2.35714
352,2.35714
353,2.35714
354,2.35714
355,2.35714
356,2.42857
357,2.42857
358,2.42857
359,2.42857
360,2.42857
361,2.42857
362,2.42857
363,2.5
364,2.5
365,2.5
366,2.5
367,2.5
368,2.5
369,2.5
370,2.5
371,2.5
372,2.5
373,2.5
374,2.5
375,2.33333
376,2.33333
377,2.33333
378,2.33333
379,2.33333
380,2.33333
381,2.33333
382,2.33333
383,2.33333
384,2.1875
385,2.1875
386,2.1875
387,2.1875
388,2.25
389,2.25
390,2.25
391,2.25
392,2.25
393,2.25
394,2.25
395,2.25
396,2.25
397,2.25
398,2.25
399,2.3125
400,2.3125
401,2.3125
402,2.3125
403,2.3125
404,2.3125
405,2.3125
406,2.3125
407,2.3125
408,2.3125
409,2.3125
410,2.3125
411,2.3125
412,2.3125
413,2.3125
414,2.3125
415,2.3125
416,2.3125
417,2.3125
418,2.3125
419,2.3125
420,2.3125
421,2.3125
422,2.3125
423,2.375
424,2.375
425,2.375
426,2.375
427,2.4375
428,2.4375
429,2.4375
430,2.5
431,2.5
432,2.5
433,2.5
434,2.5
435,2.5
436,2.5625
437,2.625
438,2.47059
439,2.47059
440,2.47059
441,2.47059
442,2.47059
443,2.52941
444,2.52941
445,2.58824
446,2.64706
447,2.64706
448,2.5
449,2.5
450,2.5
451,2.5
452,2.5
453,2.5
454,2.5
455,2.5
456,2.5
457,2.36842
458,2.36842
459,2.36842
460,2.36842
461,2.36842
462,2.36842
463,2.36842
464,2.36842
465,2.36842
466,2.36842
467,2.36842
468,2.36842
469,2.36842
470,2.36842
471,2.36842
472,2.42105
473,2.42105
474,2.42105
475,2.42105
476,2.3
477,2.3
478,2.3
479,2.3
480,2.3
481,2.3
482,2.3
483,2.3
484,2.3
485,2.3
486,2.3
487,2.3
488,2.3
489,2.3
490,2.3
491,2.3
492,2.3
493,2.3
494,2.3
495,2.3
496,2.35
497,2.4
498,2.4
499,2.4
500,2.4
501,2.4
502,2.4
503,2.4
504,2.4
505,2.28571
506,2.28571
507,2.28571
508,2.28571
509,2.28571
510,2.28571
511,2.28571
512,2.28571
513,2.33333
514,2.33333
515,2.33333
516,2.33333
517,2.33333
518,2.33333
519,2.33333
520,2.33333
521,2.33333
522,2.33333
523,2.33333
524,2.33333
525,2.33333
526,2.33333
527,2.33333
528,2.33333
529,2.33333
530,2.33333
531,2.33333
532,2.33333
533,2.33333
534,2.33333
535,2.22727
536,2.22727
537,2.22727
538,2.22727
539,2.13043
540,2.13043
541,2.13043
542,2.13043
543,2.13043
544,2.13043
545,2.13043
546,2.13043
547,2.13043
548,2.13043
549,2.13043
550,2.13043
551,2.13043
552,2.17391
553,2.17391
554,2.17391
555,2.17391
556,2.08333
557,2.08333
558,2.08333
559,2.08333
560,2.08333
561,2.08333
562,2.08333
563,2.08333
564,2.08333
565,2.08333
566,2.08333
567,2.08333
568,2.08333
569,2.08333
570,2.08333
571,2.08333
572,2.08333
573,2.08333
574,2.08333
575,2.08333
576,2.08333
577,2.08333
578,2.08333
579,2.08333
580,2.08333
581,2.08333
582,2.08333
583,2.08333
584,2
585,2
586,2
587,2
588,2
589,2.04
590,2.04
591,2.04
592,2.04
593,2.08
594,2.08
595,2.08
596,2.08
597,2.08
598,2.08
599,2.08
600,2.08
601,2.12
602,2.12
603,2.03846
604,2.03846
605,2.03846
606,2.03846
607,2.03846
608,2.03846
609,2.03846
610,2.03846
611,2.03846
612,2.03846
613,2.03846
614,2.07692
615,2.07692
616,2.07692
617,2.07692
618,2.07692
619,2.07692
620,2.07692
621,2.07692
622,2.07692
623,2.07692
624,2.07692
625,2
626,2
627,2
628,2
629,2
630,2.03704
631,1.96429
632,1.96429
633,1.96429
634,1.96429
635,1.96429
636,1.96429
637,1.96429
638,1.96429
639,1.96429
640,1.96429
641,1.96429
642,1.96429
643,1.96429
644,1.96429
645,1.96429
646,1.96429
647,1.96429
648,1.96429
649,1.96429
650,1.96429
651,1.96429
652,1.96429
653,1.96429
654,1.96429
655,1.96429
656,1.96429
657,1.96429
658,1.96429
659,1.96429
660,1.96429
661,1.96429
662,1.96429
663,1.96429
664,1.96429
665,1.96429
666,1.96429
667,1.96429
668,1.96429
669,1.96429
670,1.96429
671,1.96429
672,1.96429
673,1.96429
674,1.96429
675,1.96429
676,1.96429
677,1.96429
678,1.96429
679,1.96429
680,1.96429
681,1.96429
682,1.96429
683,2
684,2
685,2
686,2
687,1.93103
688,1.93103
689,1.93103
690,1.93103
691,1.93103
692,1.93103
693,1.93103
694,1.93103
695,1.93103
696,1.96552
697,1.96552
698,1.96552
699,1.96552
700,1.96552
701,1.96552
702,1.96552
703,2
704,2
705,2
706,2
707,2
708,2
709,2
710,2
711,2
712,2
713,2
714,2
715,2
716,2
717,2
718,2
719,2
720,2
721,2
722,2
723,2
724,2
725,2
726,2
727,2
728,2
729,2
730,2
731,2
732,2
733,2
734,2.03448
735,2.03448
736,2.06897
737,2.06897
738,2.06897
739,2.06897
740,2.06897
741,2.10345
742,2.13793
743,2.13793
744,2.13793
745,2.13793
746,2.13793
747,2.13793
748,2.13793
749,2.13793
750,2.13793
751,2.13793
752,2.13793
753,2.17241
754,2.17241
755,2.1
756,2.1
757,2.1
758,2.1
759,2.1
760,2.1
761,2.1
762,2.1
763,2.03226
764,2.06452
765,2.06452
766,2.06452
767,2.06452
768,2.06452
769,2.09677
770,2.09677
771,2.09677
772,2.09677
773,2.09677
774,2.03125
775,2.03125
776,2.0625
777,2.0625
778,2.0625
779,2.0625
780,2.0625
781,2.0625
782,2.0625
783,2.0625
784,2.0625
785,2.0625
786,2.09375
787,2.09375
788,2.125
789,2.125
790,2.125
791,2.125
792,2.125
793,2.125
794,2.125
795,2.125
796,2.125
797,2.125
798,2.125
799,2.125
800,2.125
801,2.125
802,2.125
803,2.125
804,2.125
805,2.125
806,2.125
807,2.125
808,2.125
809,2.125
810,2.125
811,2.125
812,2.125
813,2.125
814,2.125
815,2.125
816,2.125
817,2.125
818,2.125
819,2.125
820,2.125
821,2.125
822,2.15625
823,2.15625
824,2.15625
825,2.15625
826,2.1875
827,2.1875
828,2.1875
829,2.1875
830,2.1875
831,2.1875
832,2.12121
833,2.12121
834,2.05882
835,2.05882
836,2.08824
837,2.08824
838,2.08824
839,2.11765
840,2.14706
841,2.14706
842,2.14706
843,2.14706
844,2.14706
845,2.17647
846,2.17647
847,2.17647
848,2.17647
849,2.17647
850,2.17647
851,2.17647
852,2.17647
853,2.17647
854,2.17647
855,2.17647
856,2.17647
857,2.17647
858,2.20588
859,2.20588
860,2.20588
861,2.20588
862,2.14286
863,2.14286
864,2.17143
865,2.17143
866,2.17143
867,2.17143
868,2.17143
869,2.2
870,2.2
871,2.2
872,2.2
873,2.2
874,2.2
875,2.2
876,2.22857
877,2.22857
878,2.22857
879,2.22857
880,2.25714
881,2.25714
882,2.25714
883,2.25714
884,2.25714
885,2.25714
886,2.25714
887,2.25714
888,2.25714
889,2.25714
890,2.28571
891,2.28571
892,2.28571
893,2.28571
894,2.28571
895,2.31429
896,2.34286
897,2.34286
898,2.34286
899,2.34286
900,2.34286
901,2.34286
902,2.34286
903,2.34286
904,2.34286
905,2.34286
906,2.34286
907,2.34286
908,2.34286
909,2.34286
910,2.27778
911,2.27778
912,2.27778
913,2.27778
914,2.27778
915,2.27778
916,2.27778
917,2.27778
918,2.27778
919,2.27778
920,2.27778
921,2.27778
922,2.27778
923,2.27778
924,2.27778
925,2.27778
926,2.27778
927,2.27778
928,2.27778
929,2.27778
930,2.27778
931,2.21622
932,2.21622
933,2.21622
934,2.15789
935,2.15789
936,2.15789
937,2.15789
938,2.15789
939,2.15789
940,2.15789
941,2.15789
942,2.15789
943,2.15789
944,2.15789
945,2.15789
946,2.15789
947,2.15789
948,2.15789
949,2.15789
950,2.15789
951,2.15789
952,2.15789
953,2.15789
954,2.15789
955,2.15789
956,2.18421
957,2.21053
958,2.21053
959,2.21053
960,2.21053
961,2.21053
962,2.23684
963,2.23684
964,2.23684
965,2.26316
966,2.26316
967,2.26316
968,2.26316
969,2.26316
970,2.26316
971,2.26316
972,2.26316
973,2.28947
974,2.28947
975,2.28947
976,2.28947
977,2.28947
978,2.28947
979,2.28947
980,2.28947
981,2.28947
982,2.28947
983,2.28947
984,2.28947
985,2.28947
986,2.31579
987,2.31579
988,2.31579
989,2.31579
990,2.31579
991,2.31579
992,2.31579
993,2.31579
994,2.31579
995,2.31579
996,2.31579
997,2.31579
998,2.31579
999,2.31579
1000,2.31579
